Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,452
design__inferred_latch__count,0
design__instance__count,4633
design__instance__area,963633
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00114850839599967
power__switching__total,0.000673180737067014
power__leakage__total,3.520157179082162E-7
power__total,0.0018220411147922277
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,0.2055338180049092
timing__setup__ws__corner:nom_tt_025C_1v80,12.939676363317831
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,38
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0
timing__hold__ws__corner:nom_ss_100C_1v60,-0.01301669919805258
timing__setup__ws__corner:nom_ss_100C_1v60,9.618214941182048
timing__hold__tns__corner:nom_ss_100C_1v60,-0.01301669919805258
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,-0.01301669919805258
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,1
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1637031667669383
timing__setup__ws__corner:nom_ff_n40C_1v95,14.160147233340798
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,38
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,-0.05495737354087547
timing__setup__ws,9.343166504925671
timing__hold__tns,-0.05495737354087547
timing__setup__tns,0.0
timing__hold__wns,-0.05495737354087547
timing__setup__wns,0.0
timing__hold_vio__count,2
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1450.0 920.0
design__core__bbox,5.06 5.44 1444.86 913.92
design__io,108
design__die__area,1.334E+6
design__core__area,1.30803E+6
design__instance__count__stdcell,4625
design__instance__area__stdcell,11722.5
design__instance__count__macros,8
design__instance__area__macros,951911
design__instance__utilization,0.736706
design__instance__utilization__stdcell,0.0329174
design__instance__count__class:macro,8
design__instance__count__class:inverter,8
design__instance__count__class:sequential_cell,1
design__instance__count__class:multi_input_combinational_cell,354
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,26034
design__instance__count__class:tap_cell,3371
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,285597
design__violations,0
design__instance__count__class:timing_repair_buffer,145
design__instance__count__class:clock_buffer,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,8
antenna__violating__pins,8
route__antenna_violation__count,8
antenna_diodes_count,742
design__instance__count__class:antenna_cell,742
route__net,848
route__net__special,2
route__drc_errors__iter:1,713
route__wirelength__iter:1,343031
route__drc_errors__iter:2,285
route__wirelength__iter:2,343030
route__drc_errors__iter:3,211
route__wirelength__iter:3,343166
route__drc_errors__iter:4,3
route__wirelength__iter:4,343260
route__drc_errors__iter:5,1
route__wirelength__iter:5,343256
route__drc_errors__iter:6,0
route__wirelength__iter:6,343257
route__drc_errors,0
route__wirelength,343257
route__vias,7894
route__vias__singlecut,7894
route__vias__multicut,0
design__disconnected_pin__count,19
design__critical_disconnected_pin__count,0
route__wirelength__max,3049.69
timing__unannotated_net__count__corner:nom_tt_025C_1v80,92
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,92
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,92
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.0
timing__hold__ws__corner:min_tt_025C_1v80,0.2100826239100524
timing__setup__ws__corner:min_tt_025C_1v80,13.057291617516167
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
